general_comment,recommendation_rating,sentimento_comida,justificativa_comida,sentimento_servico,justificativa_servico,sentimento_ambiente,justificativa_ambiente,sentimento_preco,justificativa_preco
"A comida estava ótima, mas o ambiente era sujo.",4,Negativo,"['ótima', 'sujo']",,,Negativo,"['ótima', 'sujo']",,
O atendimento foi excelente e o preço justo.,10,,,Positivo,"['excelente', 'justo']",,,Positivo,['justo']
"Demorou muito para chegar, comida fria e ruim.",1,Negativo,"['ruim', 'fria']",,,,,,
"Ambiente agradável e comida saborosa, recomendo!",9,Positivo,"['agradável', 'saborosa']",,,Positivo,['agradável'],,
"Preço alto e porção pequena, não vale a pena.",2,,,,,,,Negativo,['não vale']
"O garçom foi muito educado, mas a música estava alta demais.",6,,,Negativo,"['educado', 'demais', 'alta']",Negativo,"['educado', 'demais', 'muito', 'alta']",,
"A sobremesa estava deliciosa, voltarei com certeza.",10,Positivo,['voltarei'],,,,,,
O banheiro estava limpo e o ambiente aconchegante.,8,,,,,Positivo,"['aconchegante', 'limpo']",,
"A carne veio mal passada, pedi bem passada.",3,Negativo,"['passada', 'mal', 'bem']",,,,,,
O restaurante estava lotado e o serviço foi lento.,3,,,Negativo,['lento'],,,,
Comida sem sabor algum.,2,Negativo,['sem sabor'],,,,,,
Não gostei do atendimento.,2,,,Negativo,['Não'],,,,
