general_comment,recommendation_rating,sentimento_comida,justificativa_comida,sentimento_servico,justificativa_servico,sentimento_ambiente,justificativa_ambiente,sentimento_preco,justificativa_preco,sentimento_geral
"A comida estava ótima, mas o ambiente era sujo.",4,Positivo,['comida ótima'],,[],Negativo,['ambiente sujo'],,[],Misto
O atendimento foi excelente e o preço justo.,10,,[],Positivo,['atendimento excelente'],,[],Positivo,['preço justo'],Positivo
"Demorou muito para chegar, comida fria e ruim.",1,Negativo,"['comida fria', 'demorou', 'ruim']",,[],,[],,[],Negativo
"Ambiente agradável e comida saborosa, recomendo!",9,Positivo,['comida saborosa'],,[],Positivo,['Ambiente agradável'],,[],Positivo
"Preço alto e porção pequena, não vale a pena.",2,,[],,[],,[],,[],Indefinido
"O garçom foi muito educado, mas a música estava alta demais.",6,,[],Positivo,['educado'],,[],,[],Positivo
"A sobremesa estava deliciosa, voltarei com certeza.",10,Positivo,"['sobremesa deliciosa', 'voltarei']",,[],,[],,[],Positivo
O banheiro estava limpo e o ambiente aconchegante.,8,,[],,[],Positivo,"['ambiente aconchegante', 'banheiro limpo']",,[],Positivo
"A carne veio mal passada, pedi bem passada.",3,,[],,[],,[],,[],Indefinido
O restaurante estava lotado e o serviço foi lento.,3,,[],Negativo,['serviço lento'],,[],,[],Negativo
Comida sem sabor algum.,2,,[],,[],,[],,[],Indefinido
Não gostei do atendimento.,2,,[],,[],,[],,[],Indefinido
